f1,w,rf,wt,mass,m95,r95,compac,Q
0.009,1.008359,90,0.991262368390254,0.228126043806192,0.216718281081038,33.38,0.006492458989845,0.114392807183938
0.01,1.0092992,85,0.990300533973173,0.23994163906413,0.227930798453598,31.63,0.007206158661195,0.240711093812789
0.02,1.0188289,70,0.980781520117795,0.332020209857392,0.315392310447936,22.15,0.014238930494264,0.167055995376138
0.024,1.0227066,65,0.977025088007033,0.360540613972446,0.342480690601951,20.14,0.017004999533364,0.181623119953685
0.028,1.0266225,65,0.973299395603504,0.385966642374713,0.366618364119314,18.56,0.019753144618498,0.194659600325147
0.032,1.0305769,60,0.96960211566202,0.40900353738883,0.388489213027666,17.29,0.022469011742491,0.206516249582292
0.36,1.0345701,55,0.965932722656253,0.430062612227436,0.408553912181037,16.25,0.025141779211141,0.217396295387837
0.04,1.038603,40,0.96229881855287,0.449244473113814,0.426746406268666,15.34,0.02781919206445,0.227343869151756
0.044,1.0426746,40,0.958683861263438,0.467148260093377,0.443785775292111,14.58,0.030437981844452,0.236663967740227
0.052,1.0509395,40,0.951556546256206,0.498940211498115,0.473959791636053,13.3,0.035636074559102,0.253305644337537
0.06,1.0593674,40,0.944546962227789,0.526570323435045,0.50017091918558,12.28,0.040730530878305,0.267876678817751
0.07,1.0701362,40,0.935951019352559,0.556375330683728,0.528500396623736,11.26,0.046936092062499,0.283724679984094
0.08,1.0811708,35,0.927542869828416,0.581802335835294,0.552662624822929,10.43,0.052987787614854,0.297368265958452
0.09,1.0924774,35,0.919322489916798,0.603613700581766,0.573421761563297,9.74,0.058872870797053,0.309177162636561
0.1,1.1040623,30,0.911290436141796,0.622358149294066,0.59121881392209,9.15,0.064614078024272,0.319415674091438
0.11,1.1159316,30,0.903444792445912,0.638488813392551,0.606524004171128,8.64,0.070199537519807,0.328303688066718
0.12,1.1280922,30,0.895789723349706,0.652297767814146,0.61958345359723,8.19,0.075651215335437,0.335977912101294
0.13,1.1405503,30,0.888322319581071,0.664102290921172,0.630703910444253,7.79,0.080963274768197,0.342593808798663
0.14,1.1533124,25,0.881041850067152,0.674138028895982,0.640322642127978,7.44,0.086064871253761,0.348265383176516
0.15,1.1663857,25,0.873952147152647,0.682560789672245,0.648317189065237,7.12,0.091055784981073,0.353064299338314
0.16,1.1797768,25,0.867051924780516,0.689543617173064,0.65497453191172,6.83,0.09589671038239,0.357074664837956
0.17,1.1934922,25,0.860337522515605,0.695280342630243,0.660278677707378,6.56,0.100652237455393,0.360395378394008
0.18,1.2075392,25,0.853812359376169,0.699841063987993,0.664716515423941,6.32,0.105176663832902,0.363055659464744
0.19,1.2219245,25,0.847473037776139,0.703382993192935,0.668207098708821,6.1,0.109542147329315,0.365137296432156
0.2,1.2366554,25,0.841321245378144,0.705972147492681,0.67060651261419,5.89,0.113855095520236,0.366670152933443
0.21,1.2517387,25,0.835354630180292,0.707709792177357,0.672041960290176,5.69,0.118109307608115,0.36770632473326
0.22,1.2671818,25,0.829573484588696,0.708671757672875,0.672955484448939,5.51,0.122133481751169,0.368283917807851
0.23,1.2829918,20,0.823977162989575,0.70891201289928,0.673142925841696,5.34,0.126056727685711,0.368429031437117
0.24,1.2991759,20,0.818563164004298,0.708532034527576,0.673047309282527,5.19,0.129681562482182,0.368197545118881
0.25,1.3157416,20,0.813332330408288,0.707560806057662,0.67207408212231,5.04,0.133348032167125,0.367602224992078
0.26,1.3326961,20,0.808282710515591,0.706060465788936,0.670644081089516,4.9,0.13686613899786,0.36667686113884
0.27,1.3500468,20,0.803413411494103,0.704075490344358,0.668833619100193,4.77,0.140216691635261,0.365445105234858
0.28,1.367801,20,0.798722300032713,0.701663836976175,0.666342102427465,4.64,0.143608211730057,0.363939729391894
0.29,1.3859663,20,0.794209903355073,0.698836759614456,0.663593886680855,4.52,0.1468128067878,0.362164838391767
0.3,1.4045501,20,0.789873822549676,0.695651493464916,0.66065120483871,4.41,0.149807529441885,0.360153874202516
0.32,1.4430025,20,0.781723200504077,0.688347457107513,0.653618000622624,4.2,0.155623333481577,0.355505322348766
0.34,1.483218,20,0.774259389514184,0.679980466720868,0.645591191740216,4.01,0.160995309660902,0.350127113086298
0.36,1.5252562,20,0.76746937756141,0.670759760864897,0.636872403835668,3.84,0.165852188498872,0.344145549652991
0.38,1.5691764,17,0.761340165360272,0.660844082901035,0.62771892154193,3.69,0.170113528873152,0.337658898503036
0.4,1.615037,17,0.75585536760199,0.650409463187511,0.617520335569426,3.54,0.174440772759725,0.33078065648849
0.42,1.6628964,17,0.751000996834948,0.639572587877089,0.607283537009859,3.41,0.178089013785883,0.323588108216089
0.44,1.7128112,17,0.746760269258734,0.62844942168774,0.596751513667036,3.29,0.18138343880457,0.316161170127677
0.46,1.7648375,17,0.743116850252503,0.617136380521084,0.586057644833608,3.18,0.184294856865915,0.308567339916885
0.48,1.8190296,17,0.74005337041518,0.605717993875583,0.575316367552393,3.08,0.186791028426102,0.30086818794605
0.5,1.8754404,17,0.73755271214137,0.59425789931375,0.564209434963344,2.98,0.189332025155485,0.293111821193671
0.52,1.9341205,17,0.735595770505404,0.582827183417116,0.553653521613064,2.9,0.190915007452781,0.285351976900615
0.54,1.9951189,17,0.734164422373697,0.571473412159181,0.542890112462342,2.82,0.192514224277426,0.277626605049377
0.56,2.0584819,17,0.733239007148736,0.560246962674499,0.531989620870804,2.74,0.19415679593825,0.269975629779731
0.58,2.1242537,17,0.732800708825839,0.549175775315422,0.52141234536719,2.67,0.195285522609435,0.262423439459759
0.6,2.1924754,17,0.732828610339928,0.538305377383464,0.51119905029892,2.61,0.195861705095371,0.255006155674948
0.62,2.2631854,17,0.733302706669088,0.527651886825056,0.500991847233054,2.55,0.196467391071786,0.247739382663043
0.64,2.3364192,17,0.734201774342567,0.517246206910543,0.491214901573589,2.5,0.196485960629436,0.240648292572655
0.66,2.4122092,17,0.735504523956825,0.507107678949027,0.481510974332743,2.45,0.196535091564385,0.233749608123058
0.68,2.4905845,17,0.737189144715672,0.497251936382595,0.472279984530327,2.4,0.195966798560302,0.227056950194534
0.7,2.571571,17,0.739233528888146,0.487690891690994,0.463170169411096,2.37,0.195430451228311,0.220580808489304
0.72,2.6551912,17,0.741614832224818,0.478438861994422,0.454207164610229,2.33,0.194938697257609,0.214332711954763
0.74,2.741464,15,0.744309481780119,0.469508408690048,0.445757973037579,2.3,0.193807814364165,0.208322417526038
0.76,2.8304061,15,0.747295359085418,0.460897674026586,0.437817198616478,2.28,0.19202508711249,0.202549324844573
0.78,2.9220299,15,0.750548009097971,0.45261917557474,0.429728082134392,2.25,0.190990258726396,0.197022083863142
0.8,3.0163441,15,0.754042377367387,0.444680094900303,0.422166503382218,2.23,0.189312333355254,0.191745275196515
0.84,3.2130672,15,0.761658938361708,0.429834901548962,0.40828366368861,2.21,0.184743739225615,0.181949323622503
0.88,3.4205931,15,0.769947672262856,0.416371415269884,0.395272480336752,2.19,0.180489717048745,0.173157344093691
0.92,3.6388929,15,0.778701256382689,0.40432962301747,0.384027065871083,2.2,0.174557757214129,0.165380419675526
0.96,3.86790812,15,0.787718719558635,0.393698816754933,0.373981813919729,2.22,0.168460276540418,0.158592553962041
1,4.1075479,15,0.796792738785777,0.384510065886251,0.365172444975084,2.25,0.162298864433371,0.152792504291217
1.04,4.3577076,15,0.805725661076345,0.376766294378503,0.357853212486538,2.3,0.155588353255017,0.147959444751851
1.08,4.6182754,15,0.814328776331468,0.370473012796174,0.351808307532447,2.36,0.149071316751037,0.144074130058021
1.12,4.8891441,15,0.82242913321069,0.365628853624039,0.347270849112018,2.44,0.142324118488532,0.141113897588165
1.16,5.170221,15,0.829874978105504,0.362223985744412,0.344049073635247,2.53,0.135987776140414,0.139052679641617
1.2,5.46144,15,0.836545493012898,0.360221674184908,0.342162129802715,2.63,0.130099669126508,0.137849134391805
1.24,5.762763,15,0.842349815032233,0.359575124904215,0.341435428574895,2.73,0.125067922554907,0.137463470362252
1.28,6.074189,15,0.847237520879108,0.360196968145246,0.342035302662363,2.84,0.120434965726184,0.13783096856619
1.32,6.395749,15,0.851193823955282,0.361976637178347,0.343740398869477,2.95,0.116522169108297,0.13887830523692
1.36,6.727504,15,0.854239743200862,0.364772854346854,0.346478256360677,3.06,0.113228188353162,0.140517468891429
1.4,7.06954,15,0.856429365429196,0.368409339861048,0.349975599944262,3.16,0.11075177213426,0.142642772779678
1.44,7.421954,15,0.857834371198898,0.372714902242515,0.353938251620759,3.24,0.109240201117518,0.145153993493287
1.48,7.784852,15,0.858543770161916,0.377505159737789,0.358554872781147,3.32,0.107998455656972,0.147944581366387
1.52,8.158342,15,0.858656017451283,0.382592966378958,0.36333082407515,3.38,0.107494326649453,0.150907077193484
1.56,8.542525,15,0.858266381306852,0.387821810626341,0.368282227482376,3.43,0.107370911802442,0.153952222220245
1.6,8.937495,15,0.857466519641997,0.393054420264214,0.37326745296002,3.47,0.107569871170035,0.157001729353812
1.64,9.343339,15,0.856343889995065,0.39816478404439,0.378158282831028,3.5,0.108045223666008,0.159983280353778
1.68,9.760132,15,0.854972556536162,0.403071437368955,0.382847859727335,3.52,0.108763596513447,0.162850159889721
1.72,10.18794,15,0.853417263699621,0.407706363710944,0.38724858774676,3.53,0.109702149503332,0.165563025349031
1.76,10.626825,15,0.851739339774571,0.412008416845014,0.391285829984506,3.53,0.110845844188245,0.168085693041773
1.8,11.076837,15,0.849983579473146,0.415957739696285,0.395099286228857,3.53,0.111926143407608,0.170406179593108
1.84,11.53802,15,0.848186489831956,0.419551705748964,0.398465971971609,3.52,0.113200560219207,0.172522404865098
1.88,12.01042,15,0.846389558231454,0.422746406887379,0.401549319203184,3.51,0.114401515442503,0.174407206109845
1.92,12.494066,15,0.844605670368015,0.425602423463072,0.404149480180099,3.49,0.11580214331808,0.17609602423499
1.96,12.988997,15,0.842865179462133,0.428089961933635,0.406657217147089,3.48,0.116855522168704,0.177569852041961
