f1,w,rf,wt,mass,m95,r95,compacity,Q
0.009,1.0241032896,100,0.970321847491463,0.689643418817449,0.655102450240029,25.86999,0.0253228623981457,0.696174378416068
0.01,1.0259996573,105,0.96832720812317,0.70887129218778,0.673377369077057,24.93999,0.0269998945099061,0.716010856839312
0.02,1.0431833277,82,0.951921346947815,0.837062166455234,0.795169251147192,19.54999,0.0406736189845111,0.849456662657021
0.024,1.0494966682,80,0.946536522734528,0.870557152978133,0.826931907749691,18.34999,0.0450644091416726,0.884687759778934
0.026,1.0525754508,75,0.944029393480756,0.884186299913336,0.839827433766174,17.79999,0.0471813165037177,0.899154873067999
0.028,1.0556101719,75,0.941617612047111,0.89706304124762,0.852197776750042,17.33999,0.0491463539071535,0.912812626881064
0.03,1.0586054438,79,0.939297217702796,0.908924771948109,0.863303738296119,16.90999,0.0510528526490904,0.925416128355625
0.032,1.0615651303,75,0.937061083787611,0.919823677465525,0.873755711690559,16.52999,0.052858784736271,0.9370231410724
0.034,1.0644925058,75,0.934905471303977,0.929671012937907,0.883184476323806,16.16999,0.0546187060187883,0.94755556348032
0.036,1.0673903734,70,0.932819928658091,0.938887216790052,0.891741300562654,15.82999,0.0563323626381968,0.9574206599632
0.038,1.0702611538,75,0.930802000882155,0.947391690986466,0.899983078807145,15.52999,0.0579512607087666,0.96654584018427
0.04,1.0731069544,68,0.928843898566682,0.955422429780941,0.907626980695037,15.24999,0.0595165233242648,0.975163085448855
0.042,1.0759296227,70,0.926943757296082,0.962960338491464,0.914778078327742,14.98999,0.0610258891479481,0.983256208208396
0.044,1.0787307886,70,0.925105847483418,0.969447535272096,0.920853312559374,14.71999,0.0625579696032183,0.990303242961922
0.046,1.081511899,57,0.923314603211103,0.975764220085043,0.926818473583073,14.47999,0.0640068006618144,0.997141180528016
0.05,1.08701897706,70,0.919880620094742,0.986969474698206,0.93758430194225,14.03999,0.0667795086853455,1.00932818094099
0.052,1.0897471434,66,0.918226675743267,0.992240955742591,0.942506036249337,13.83999,0.0681001471278423,1.01504552058305
0.056,1.0951574484,65,0.91503790381849,1.00203190678716,0.951692169354683,13.47999,0.0706003092993088,1.02565234130179
0.058,1.09784121836,65,0.913512693873603,1.0056977404171,0.955276574198746,13.28999,0.0718793509555114,1.02974802372468
0.06,1.1005117025,65,0.912016326437368,1.00957183838481,0.958912087876975,13.11999,0.073087811575989,1.03400359387565
0.065,1.1071339283,60,0.908417205825373,1.01854871135908,0.967378917759237,12.73999,0.0759324111270987,1.04383591263659
0.075,1.1201747861,57,0.901783969078794,1.03251967366663,0.980833366864908,12.08999,0.0811276564817956,1.05923991939376
0.085,1.1329867291,55,0.895796669647337,1.04224210397814,0.990028653271636,11.52999,0.0858654512811479,1.07008428514707
0.09,1.139319176,50,0.893009576727414,1.04599149261962,0.993463885775863,11.27999,0.0880730395191368,1.07428250693101
0.095,1.1456077723,55,0.890349566288566,1.04896963231884,0.99635355993889,11.04999,0.0901677429808951,1.07765363170012
0.12,1.1764928562,50,0.878608144156204,1.05771108301338,1.00472893001609,10.12999,0.0991835074053392,1.08743159468812
0.13,1.1886269423,51,0.874534898720512,1.05850366208731,1.00523600062066,9.819999,0.102366191509232,1.08833448368153
0.14,1.2006548965,50,0.870762619178249,1.05792152382634,1.00474097123092,9.539999,0.105318760087099,1.08775153017439
0.15,1.21258648,40,0.867230167230693,1.05758513174031,1.00470083853926,9.319999,0.107800519156573,
0.17,1.2361917394,48,0.860896316156385,1.05354927890448,1.00053745875852,8.879999,0.112673137247581,1.08247865700538
0.18,1.24787807,35,0.858047850486144,1.04994485206408,0.997139533233844,8.66999,0.115010326785911,
0.19,1.2594938327,46,0.855357252449079,1.04713689835221,0.994746496547089,8.509999,0.116891480205298,1.07511993100106
0.2,1.27104337,36,0.852846507882104,1.04323403908411,0.990788862017467,8.32999,0.118942240338231,
0.21,,,,,,,,
0.23,,,,,,,,
0.24,,,,,,,,
0.26,,,,,,,,
0.27,,,,,,,,
0.29,,,,,,,,
0.3,1.383559855,35,0.834459023085626,0.999374822917988,0.949129940751798,7.149999,0.132745446258993,
0.31,,,,,,,,
0.32,,,,,,,,
0.36,,,,,,,,
0.38,,,,,,,,
0.4,1.491935746,35,0.824014020259356,0.952716587970275,0.904729343000658,6.439999,0.140485922826189,
0.42,,,,,,,,
0.46,,,,,,,,
0.48,,,,,,,,
0.5,1.597203046,35,0.818110935146762,0.909040251970731,0.863391760662619,5.959999,0.144864389372923,
0.52,,,,,,,,
0.56,,,,,,,,
0.58,,,,,,,,
0.6,1.699942747,35,0.815045181486313,0.869416521066103,0.825672508657509,5.599999,0.147441519403127,
0.65,,,,,,,,
0.7,1.800538638,35,0.813828985526659,0.83455538443966,0.792610161662001,5.339999,0.148428869225094,
0.75,,,,,,,,
0.8,1.899268534,35,0.813885363874967,0.803406998607685,0.76322582361849,5.139999,0.148487514322663,
0.85,,,,,,,,
0.87,,,,,,,,
0.9,1.996345379,36,0.81484499634921,0.774916308752688,0.735801335796465,4.949999,0.148646734504336,
0.92,,,,,,,,
0.94,,,,,,,,
0.96,,,,,,,,
0.98,,,,,,,,
1,2.091938798,35,0.816389457685606,0.750893937927882,0.713293925714818,4.849999,0.147070912518519,
1.05,,,,,,,,
1.1,,,,,,,,
1.2,2.279208,32,0.820764939711436,0.706779383839174,0.671251838827484,4.60999,0.145607774149129,
1.4,2.461943461,35,0.826012459905433,0.671597456352666,0.637834760432262,4.46999,0.142692340141446,
1.6,2.64078354,31,0.831632916560683,0.643054025609105,0.610889219714395,4.39999,0.138838459025999,
1.8,2.81621797,35,0.837295369852879,0.621732660757261,0.590443841811561,4.43999,0.132982847254856,
2,2.989,10,0.844386630160925,0.593373507124694,0.563586342718076,4.18999,0.134507480362309,
2.02,3.006,10,0.844652022510451,0.59220637913937,0.562511526607473,4.19999,0.133931315858922,
2.04,3.0228,15,0.844222717304589,0.593618653808928,0.563781525289459,4.26999,0.132033144095892,
2.06,3.04,10,0.845421277514342,0.589504123108088,0.559834623057027,4.20999,0.132977345144187,
2.08,3.0568,15,0.845098174176687,0.591512290227735,0.561710680344254,4.30999,0.130327304024189,
2.1,3.074,11,0.846513191756645,0.586192865417692,0.556852569830253,4.21999,0.131955585267833,
2.12,3.0909,12,0.846827813648978,0.585387814159242,0.556024800331662,4.23999,0.131137924606524,
2.14,3.108,10,0.848012848309086,0.581471933597682,0.552192798642172,4.17999,0.132103540345017,
2.16,3.1247,13,0.847747422545762,0.582836929164007,0.553584764432446,4.25999,0.129949475218884,
2.18,3.1414,12,0.84760222442587,0.583498381095131,0.554280295218674,4.31999,0.128305623893212,
2.2,3.1583,13,0.848329387855446,0.581086939582014,0.55183444589394,4.28999,0.128632737970616,
2.22,3.175,12,0.848187849315803,0.583121875508133,0.553781864776482,4.40999,0.125574118996935,
